URI-Source,Source,URI-Target,Target,Levenshtein,Jaccard,Jaro-Winkler,Metric-LCS,NGram
http://www.bioknowlogy.br/resource/Antibiotic/carbenicillin,carbenicillin,http://wifo5-04.informatik.uni-mannheim.de/drugbank/resource/drugs/DB00578,Carbenicillin,0.9230769230769231,0.8888888888888888,0.9487178921699524,0.07692307692307687,0.884615384042263,0.9230769276618958
http://www.bioknowlogy.br/resource/Antibiotic/spectinomycin,spectinomycin,http://wifo5-04.informatik.uni-mannheim.de/drugbank/resource/drugs/DB00919,Spectinomycin,0.9230769230769231,0.8181818181818182,0.9487178921699524,0.07692307692307687,0.884615384042263,0.9230769276618958
http://www.bioknowlogy.br/resource/Antibiotic/streptomycin,streptomycin,http://wifo5-04.informatik.uni-mannheim.de/drugbank/resource/drugs/DB01082,Streptomycin,0.9166666666666666,0.8333333333333334,0.944444477558136,0.08333333333333337,0.875,0.9166666865348816
http://www.bioknowlogy.br/resource/Antibiotic/ceftazidime,ceftazidime,http://wifo5-04.informatik.uni-mannheim.de/drugbank/resource/drugs/DB00438,Ceftazidime,0.9090909090909091,0.8,0.9393939971923828,0.09090909090909094,0.8636363595724106,0.9090909361839294
http://www.bioknowlogy.br/resource/Antibiotic/ceftriaxone,ceftriaxone,http://wifo5-04.informatik.uni-mannheim.de/drugbank/resource/drugs/DB01212,Ceftriaxone,0.9090909090909091,0.8181818181818182,0.9393939971923828,0.09090909090909094,0.8636363595724106,0.9090909361839294
http://www.bioknowlogy.br/resource/Antibiotic/cloxacillin,cloxacillin,http://wifo5-04.informatik.uni-mannheim.de/drugbank/resource/drugs/DB01147,Cloxacillin,0.9090909090909091,0.875,0.8727273344993591,0.09090909090909094,0.8636363595724106,0.9090909361839294
http://www.bioknowlogy.br/resource/Antibiotic/netilmicin,netilmicin,http://wifo5-04.informatik.uni-mannheim.de/drugbank/resource/drugs/DB00955,Netilmicin,0.9,0.875,0.9333333373069763,0.09999999999999998,0.8499999940395355,0.9599999785423279
http://www.bioknowlogy.br/resource/Antibiotic/tobramycin,tobramycin,http://wifo5-04.informatik.uni-mannheim.de/drugbank/resource/drugs/DB00684,Tobramycin,0.9,0.8181818181818182,0.9333333373069763,0.09999999999999998,0.8499999940395355,0.9599999785423279
http://www.bioknowlogy.br/resource/Antibiotic/cefoxitin,cefoxitin,http://wifo5-04.informatik.uni-mannheim.de/drugbank/resource/drugs/DB01331,Cefoxitin,0.8888888888888888,0.7777777777777778,0.9259259104728699,0.11111111111111116,0.8333333283662796,0.8888888955116272
http://www.bioknowlogy.br/resource/Antibiotic/amikacin,amikacin,http://wifo5-04.informatik.uni-mannheim.de/drugbank/resource/drugs/DB00479,Amikacin,0.875,0.8571428571428571,0.8214285969734192,0.125,0.8125,0.949999988079071
