URI-Source,Source,URI-Target,Target,Levenshtein,Jaccard,Jaro-Winkler,Metric-LCS,NGram,Monge-Elkan
http://www.bioknowlogy.br/resource/Antibiotic/carbenicillin,carbenicillin,http://wifo5-04.informatik.uni-mannheim.de/drugbank/resource/drugs/DB00578,Carbenicillin,0.9230769230769231,0.8888888888888888,0.9487178921699524,0.9230769230769231,0.884615384042263,0.9230769276618958
http://www.bioknowlogy.br/resource/Antibiotic/spectinomycin,spectinomycin,http://wifo5-04.informatik.uni-mannheim.de/drugbank/resource/drugs/DB00919,Spectinomycin,0.9230769230769231,0.8181818181818182,0.9487178921699524,0.9230769230769231,0.884615384042263,0.9230769276618958
http://www.bioknowlogy.br/resource/Antibiotic/streptomycin,streptomycin,http://wifo5-04.informatik.uni-mannheim.de/drugbank/resource/drugs/DB01082,Streptomycin,0.9166666666666666,0.8333333333333334,0.944444477558136,0.9166666666666666,0.875,0.9166666865348816
http://www.bioknowlogy.br/resource/Antibiotic/ceftazidime,ceftazidime,http://wifo5-04.informatik.uni-mannheim.de/drugbank/resource/drugs/DB00438,Ceftazidime,0.9090909090909091,0.8,0.9393939971923828,0.9090909090909091,0.8636363595724106,0.9090908765792847
http://www.bioknowlogy.br/resource/Antibiotic/ceftriaxone,ceftriaxone,http://wifo5-04.informatik.uni-mannheim.de/drugbank/resource/drugs/DB01212,Ceftriaxone,0.9090909090909091,0.8181818181818182,0.9393939971923828,0.9090909090909091,0.8636363595724106,0.9090908765792847
http://www.bioknowlogy.br/resource/Antibiotic/cloxacillin,cloxacillin,http://wifo5-04.informatik.uni-mannheim.de/drugbank/resource/drugs/DB01147,Cloxacillin,0.9090909090909091,0.875,0.8727273344993591,0.9090909090909091,0.8636363595724106,0.9090908765792847
http://www.bioknowlogy.br/resource/Antibiotic/netilmicin,netilmicin,http://wifo5-04.informatik.uni-mannheim.de/drugbank/resource/drugs/DB00955,Netilmicin,0.9,0.875,0.9333333373069763,0.9,0.8499999940395355,0.8999999761581421
http://www.bioknowlogy.br/resource/Antibiotic/tobramycin,tobramycin,http://wifo5-04.informatik.uni-mannheim.de/drugbank/resource/drugs/DB00684,Tobramycin,0.9,0.8181818181818182,0.9333333373069763,0.9,0.8499999940395355,0.8999999761581421
http://www.bioknowlogy.br/resource/Antibiotic/cefoxitin,cefoxitin,http://wifo5-04.informatik.uni-mannheim.de/drugbank/resource/drugs/DB01331,Cefoxitin,0.8888888888888888,0.7777777777777778,0.9259259104728699,0.8888888888888888,0.8333333283662796,0.8888888955116272
http://www.bioknowlogy.br/resource/Antibiotic/amikacin,amikacin,http://wifo5-04.informatik.uni-mannheim.de/drugbank/resource/drugs/DB00479,Amikacin,0.875,0.8571428571428571,0.8214285969734192,0.875,0.8125,0.875
http://www.bioknowlogy.br/resource/Antibiotic/cloxacillin,cloxacillin,http://wifo5-04.informatik.uni-mannheim.de/drugbank/resource/drugs/DB00485,Dicloxacillin,0.8461538461538461,0.875,0.8275058269500732,0.8461538461538461,0.8076923042535782,0.8461538553237915
http://www.bioknowlogy.br/resource/Antibiotic/cephalosporin,cephalosporin,http://wifo5-04.informatik.uni-mannheim.de/drugbank/resource/drugs/DB03313,Cephalosporin C,0.8,0.7692307692307693,0.9076922535896301,0.8,0.7666666656732559,0.9230769276618958
http://www.bioknowlogy.br/resource/Antibiotic/cephalosporin_i,cephalosporin_i,http://wifo5-04.informatik.uni-mannheim.de/drugbank/resource/drugs/DB03313,Cephalosporin C,0.8,0.7142857142857143,0.8666666150093079,0.8,0.7999999970197678,0.800000011920929
http://www.bioknowlogy.br/resource/Antibiotic/penicillin,penicillin,http://wifo5-04.informatik.uni-mannheim.de/drugbank/resource/drugs/DB01603,Meticillin,0.8,0.625,0.8666666150093079,0.8,0.75,0.800000011920929
http://www.bioknowlogy.br/resource/Antibiotic/cloxacillin,cloxacillin,http://wifo5-04.informatik.uni-mannheim.de/drugbank/resource/drugs/DB00301,Flucloxacillin,0.7857142857142857,0.7777777777777778,0.8073592782020569,0.7857142857142857,0.75,0.7857142686843872
http://www.bioknowlogy.br/resource/Antibiotic/spectinomycin,spectinomycin,http://wifo5-04.informatik.uni-mannheim.de/drugbank/resource/drugs/DB00970,Dactinomycin,0.7692307692307693,0.5833333333333334,0.867521345615387,0.7692307692307693,0.7307692170143127,0.7692307829856873
http://www.bioknowlogy.br/resource/Antibiotic/cephalosporin_ii,cephalosporin_ii,http://wifo5-04.informatik.uni-mannheim.de/drugbank/resource/drugs/DB03313,Cephalosporin C,0.75,0.7142857142857143,0.8499999642372131,0.75,0.75,0.75
